x     l1                   l2                   l3                   l4
1     1.15133890015057     1.15133890015057     1.15133890015057     1.15133890015057
2     0.469168667023602    0.574122408501859    0.734526991119718    0.931367376005003
3     0.265022441607821    0.365168489768854    0.520848436119345    0.770144501542874
4     0.205088134789942    0.266677576394018    0.395659445828811    0.64867944542292
5     0.171064785221015    0.214940808215466    0.31626916844009     0.555301267914776
6     0.151755629939314    0.184438782305528    0.263484199278673    0.482315326812608
7     0.139659219882293    0.164671221459122    0.22748991356362     0.424309257012934
8     0.131357951283973    0.151040194872172    0.202173605054257    0.377486032627894
9     0.125196877079616    0.141501066046234    0.183633892187508    0.339245479233302
10    0.12031973602161     0.134432685211483    0.169650569845771    0.307691241878439
11    0.11629808749106     0.128982339608795    0.158897684898157    0.28144149099262
12    0.112883077457672    0.124541789369349    0.150385323020617    0.259492381082964
13    0.109904259898127    0.120823831799731    0.14367272507176     0.241067560473658
14    0.107243634338028    0.117638652958044    0.138244914453297    0.225514392222868
15    0.104823495456849    0.11484002622967     0.133748622077751    0.212304071878798
16    0.102590466172921    0.112374715917701    0.129986875921127    0.201000263679493
17    0.10051238862115     0.110141006001201    0.12675474920821     0.191255087511542
18    0.098566566554135    0.108093750469387    0.123911417153471    0.182791047498782
19    0.096729869725569    0.106196311503261    0.121382319086908    0.175402710339318
20    0.094985761907262    0.104422442525282    0.1191203684862      0.168933947650627
21    0.093323005758014    0.102751081535357    0.117065224352427    0.163254232907187
22    0.091731202480208    0.101168737394543    0.11518465485934     0.158229501045939
23    0.090202810251274    0.099665374163302    0.113470491942204    0.153754089504938
24    0.088733446769325    0.09823187292135     0.111879568572284    0.149751057090422
25    0.087318206917636    0.096858366533206    0.110390487659087    0.146185430012508
26    0.085953093374298    0.095537279301016    0.10898691550935     0.143030133485057
