l1                    l2                 l3                     l4                  x
1.09773769600382     1.09773769600382     1.09773769600382     1.09773769600382     1
0.335635520817466    0.521904043511808    0.708281526955852    0.895011172243239    2
0.108993294963336    0.247578882279735    0.461504412637926    0.739758867577245    3
0.114920264666045    0.151096773438993    0.309188271134943    0.612337174625286    4
0.094147190361504    0.11493613750942     0.21778438762974     0.508333451113868    5
0.102514609753566    0.103864406363105    0.164046004217735    0.423941440202741    6
0.094643316674449    0.100268740383821    0.133285504791791    0.355788195973958    7
0.097138840300174    0.098529981438003    0.116291475958536    0.300969130266697    8
0.093719488612144    0.097254885033195    0.107298121320419    0.257028573344158    9
0.094131869836928    0.096201181808542    0.102651440280118    0.221935613673868    10
0.092485347773197    0.095288228572839    0.1001710996211      0.194018600863749    11
0.092277962152023    0.094479598538867    0.09869055332916     0.171917647248547    12
0.091374640894078    0.093760383379822    0.0976567554705      0.154514038824304    13
0.091020855478546    0.093130246448673    0.096831653019351    0.140892361063849    14
0.090514570491223    0.092568622351759    0.096119485195196    0.130301901823801    15
0.090238526754581    0.092063402571657    0.095487863007304    0.122129397194321    16
0.089905101862607    0.091609355932422    0.094917942745429    0.115872523052115    17
0.089671783891447    0.09120031154923     0.094395621922863    0.111119207871849    18
0.089439732045843    0.090833411468954    0.093917152942733    0.107534473253157    19
0.089261190783829    0.090552408763421    0.093477726805797    0.104839181589743    20
0.089097365286063    0.090297938067773    0.093076243386161    0.102808943442906    21
0.088959350621303    0.090067335790761    0.092704039034879    0.101271066348416    22
0.088834968964962    0.089858381174757    0.092357242254044    0.100093368484358    23
0.088725363670145    0.089671857723788    0.092033892908168    0.099173598454797    24
0.088625052782328    0.08950621517732     0.091732664984133    0.098436654248092    25
0.088535145991034    0.089355574946786    0.091451437365153    0.097828170145122    26
